Appointment_Month,Product,Actual_RGU,Forecasted_RGU,Adjusted_RGU
2025-04-01,CENTREX,0,40,40
2025-05-01,CENTREX,0,40,40
2025-06-01,CENTREX,0,33,33
2025-07-01,CENTREX,0,41,41
2025-08-01,CENTREX,0,42,42
2025-09-01,CENTREX,0,34,34
2025-10-01,CENTREX,0,40,40
2025-11-01,CENTREX,0,40,40
2025-12-01,CENTREX,0,41,41
2022-01-01,HSIA,0,0,0
2022-02-01,HSIA,1780,0,0
2022-03-01,HSIA,1877,0,0
2022-04-01,HSIA,1965,0,0
2022-05-01,HSIA,1821,0,0
2022-06-01,HSIA,2295,0,0
2022-07-01,HSIA,2216,0,0
2022-08-01,HSIA,2398,0,0
2022-09-01,HSIA,2332,0,0
2022-10-01,HSIA,2530,0,0
2022-11-01,HSIA,2294,0,0
2022-12-01,HSIA,2266,0,0
2023-01-01,HSIA,2139,0,0
2023-02-01,HSIA,1745,0,0
2023-03-01,HSIA,1982,0,0
2023-04-01,HSIA,2367,0,0
2023-05-01,HSIA,1962,0,0
2023-06-01,HSIA,2397,0,0
2023-07-01,HSIA,2416,0,0
2023-08-01,HSIA,1876,0,0
2023-09-01,HSIA,2145,0,0
2023-10-01,HSIA,2365,0,0
2023-11-01,HSIA,2100,0,0
2023-12-01,HSIA,2643,0,0
2024-01-01,HSIA,2272,0,0
2024-02-01,HSIA,2095,0,0
2024-03-01,HSIA,1832,0,0
2024-04-01,HSIA,2293,0,0
2024-05-01,HSIA,2118,0,0
2024-06-01,HSIA,2388,0,0
2024-07-01,HSIA,2434,0,0
2024-08-01,HSIA,2406,0,0
2024-09-01,HSIA,2635,0,0
2024-10-01,HSIA,2479,0,0
2024-11-01,HSIA,2550,0,0
2024-12-01,HSIA,2600,0,0
2025-01-01,HSIA,2387,0,0
2025-02-01,HSIA,2813,2798,2798
2025-03-01,HSIA,0,3281,3281
2025-04-01,HSIA,0,2737,2737
2025-05-01,HSIA,0,3406,3406
2025-06-01,HSIA,0,3433,3433
2025-07-01,HSIA,0,2893,2893
2025-08-01,HSIA,0,3222,3222
2025-09-01,HSIA,0,3283,3283
2025-10-01,HSIA,0,3119,3119
2025-11-01,HSIA,0,3515,3515
2025-12-01,HSIA,0,3266,3266
2022-01-01,IPTV,0,0,0
2022-02-01,IPTV,125,0,0
2022-03-01,IPTV,177,0,0
2022-04-01,IPTV,120,0,0
2022-05-01,IPTV,124,0,0
2022-06-01,IPTV,158,0,0
2022-07-01,IPTV,124,0,0
2022-08-01,IPTV,227,0,0
2022-09-01,IPTV,118,0,0
2022-10-01,IPTV,133,0,0
2022-11-01,IPTV,112,0,0
2022-12-01,IPTV,162,0,0
2023-01-01,IPTV,124,0,0
2023-02-01,IPTV,92,0,0
2023-03-01,IPTV,287,0,0
2023-04-01,IPTV,218,0,0
2023-05-01,IPTV,211,0,0
2023-06-01,IPTV,224,0,0
2023-07-01,IPTV,156,0,0
2023-08-01,IPTV,99,0,0
2023-09-01,IPTV,134,0,0
2023-10-01,IPTV,100,0,0
2023-11-01,IPTV,105,0,0
2023-12-01,IPTV,88,0,0
2024-01-01,IPTV,76,0,0
2024-02-01,IPTV,59,0,0
2024-03-01,IPTV,62,0,0
2024-04-01,IPTV,75,0,0
2024-05-01,IPTV,54,0,0
2024-06-01,IPTV,105,0,0
2024-07-01,IPTV,72,0,0
2024-08-01,IPTV,171,0,0
2024-09-01,IPTV,236,0,0
2024-10-01,IPTV,95,0,0
2024-11-01,IPTV,93,0,0
2024-12-01,IPTV,83,0,0
2025-01-01,IPTV,82,0,0
2025-02-01,IPTV,86,359,359
2025-03-01,IPTV,0,283,283
2025-04-01,IPTV,0,255,255
2025-05-01,IPTV,0,268,268
2025-06-01,IPTV,0,203,203
2025-07-01,IPTV,0,138,138
2025-08-01,IPTV,0,192,192
2025-09-01,IPTV,0,139,139
2025-10-01,IPTV,0,157,157
2025-11-01,IPTV,0,130,130
2025-12-01,IPTV,0,113,113
2022-01-01,MPAAS,0,0,0
2022-02-01,MPAAS,38,0,0
2022-03-01,MPAAS,246,0,0
2022-04-01,MPAAS,79,0,0
2022-05-01,MPAAS,5,0,0
2022-06-01,MPAAS,44,0,0
2022-07-01,MPAAS,206,0,0
2022-08-01,MPAAS,84,0,0
2022-09-01,MPAAS,46,0,0
2022-10-01,MPAAS,42,0,0
2022-11-01,MPAAS,250,0,0
2022-12-01,MPAAS,331,0,0
2023-01-01,MPAAS,558,0,0
2023-02-01,MPAAS,106,0,0
2023-03-01,MPAAS,228,0,0
2023-04-01,MPAAS,344,0,0
2023-05-01,MPAAS,208,0,0
2023-06-01,MPAAS,205,0,0
2023-07-01,MPAAS,97,0,0
2023-08-01,MPAAS,417,0,0
2023-09-01,MPAAS,36,0,0
2023-10-01,MPAAS,286,0,0
2023-11-01,MPAAS,30,0,0
2023-12-01,MPAAS,373,0,0
2024-01-01,MPAAS,280,0,0
2024-02-01,MPAAS,57,0,0
2024-03-01,MPAAS,76,0,0
2024-04-01,MPAAS,72,0,0
2024-05-01,MPAAS,76,0,0
2024-06-01,MPAAS,131,0,0
2024-07-01,MPAAS,104,0,0
2024-08-01,MPAAS,90,0,0
2024-09-01,MPAAS,60,0,0
2024-10-01,MPAAS,61,0,0
2024-11-01,MPAAS,39,0,0
2024-12-01,MPAAS,70,0,0
2025-01-01,MPAAS,56,0,0
2025-02-01,MPAAS,53,65,65
2025-03-01,MPAAS,0,71,71
2025-04-01,MPAAS,0,79,79
2025-05-01,MPAAS,0,70,70
2025-06-01,MPAAS,0,72,72
2025-07-01,MPAAS,0,90,90
2025-08-01,MPAAS,0,87,87
2025-09-01,MPAAS,0,111,111
2025-10-01,MPAAS,0,205,205
2025-11-01,MPAAS,0,235,235
2025-12-01,MPAAS,0,265,265
2022-01-01,NAAS,0,0,0
2022-02-01,NAAS,70,0,0
2022-03-01,NAAS,56,0,0
